model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL
timecopilot,autogluon/chronos_datasets,monash_traffic,24,1,-24,24,-23,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_traffic,0.7739645971400719,,101.55883938,a395745939b7b0f3,False,0.6.0,0.7739645971400719,0.2281103168740663
timecopilot,autogluon/chronos_datasets,monash_australian_electricity,48,1,-48,48,-47,,48,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_australian_electricity,0.761278878663326,,87.18234509,c3fa76db06a6f37a,False,0.6.0,0.761278878663326,0.0354336959497435
timecopilot,autogluon/chronos_datasets,ercot,24,1,-24,24,-23,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],ercot,0.6833983448950258,,81.13162435999999,95b91121d95f89c8,False,0.6.0,0.6833983448950258,0.0206758714793285
timecopilot,autogluon/chronos_datasets_extra,ETTm,24,1,-96,24,-23,,96,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTm,0.6237841762093976,,92.28126142000002,8b02054712ef1d41,False,0.6.0,0.6237841762093976,0.0516134532630169
timecopilot,autogluon/chronos_datasets_extra,ETTh,24,1,-24,24,-23,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTh,0.7625638462320636,,85.33888267200001,d61f7a559d253cb4,False,0.6.0,0.7625638462320636,0.0740316799327656
timecopilot,autogluon/chronos_datasets,exchange_rate,30,1,-30,30,-29,,5,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],exchange_rate,1.981209557451495,,95.825562333,a8476b6fa723f5ed,False,0.6.0,1.981209557451495,0.0134032471152773
timecopilot,autogluon/chronos_datasets,nn5,56,1,-56,56,-55,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],nn5,0.5556876939254136,,96.910774641,91434e4cabb44eab,False,0.6.0,0.5556876939254136,0.1453783915571264
timecopilot,autogluon/chronos_datasets,monash_nn5_weekly,8,1,-8,8,-7,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_nn5_weekly,0.9072348440238922,,91.79065736799998,480088d6b89d7100,False,0.6.0,0.9072348440238922,0.0828638298840608
timecopilot,autogluon/chronos_datasets,monash_weather,30,1,-30,30,-29,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_weather,0.7919336327531099,,147.496713613,980478e7349a0e49,False,0.6.0,0.7919336327531099,0.1284542879603267
timecopilot,autogluon/chronos_datasets,monash_covid_deaths,30,1,-30,30,-29,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_covid_deaths,38.40480428649353,,99.978413443,6cdf94c2ac2fae09,False,0.6.0,38.40480428649353,0.0402622984596447
timecopilot,autogluon/chronos_datasets,monash_fred_md,12,1,-12,12,-11,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_fred_md,0.5513709624273953,,68.48606713199999,a508fc699f3f3683,False,0.6.0,0.5513709624273953,0.0371942971225067
timecopilot,autogluon/chronos_datasets,m4_quarterly,8,1,-8,8,-7,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_quarterly,1.1700822028966442,,204.034223728,97b166b18d38e710,False,0.6.0,1.1700822028966442,0.0741636274514156
